label,pair,rrf_k,mean_ndcg,std_ndcg,mean_map,std_map,mean_mrr,mean_p10,ndcg_fold_1,ndcg_fold_2,ndcg_fold_3,ndcg_fold_4,ndcg_fold_5
BM25 + LM-Dir  k=90,BM25 + LM-Dir,90,0.7925660903018151,0.051569239668780166,0.5846343010376174,0.07330127560635555,0.8988095238095237,0.7071428571428571,0.7702966562159957,0.7355816309292518,0.7487311224215268,0.8487795832626747,0.8594414586796264
BM25 + LM-Dir  k=60,BM25 + LM-Dir,60,0.792538666965563,0.05153290874869342,0.584570476888923,0.07330772339781846,0.8988095238095237,0.7071428571428571,0.7702157335807788,0.7355947441063818,0.7487991271733117,0.8486175843463569,0.8594661456209858
BM25 + LM-Dir  k=30,BM25 + LM-Dir,30,0.7925211692943581,0.05128925203880902,0.5845858025188704,0.07291170272472693,0.8988095238095237,0.7071428571428571,0.7701543297293458,0.7359831095397309,0.7489759079283757,0.8481382889044911,0.8593542103698473
BM25 + LM-JM  k=90,BM25 + LM-JM,90,0.7901970683438624,0.05043211693466291,0.5808910526539481,0.07377131129793679,0.8807142857142857,0.7021428571428572,0.769579748673158,0.7339989078796069,0.7474355026324428,0.8411595351313347,0.8588116474027699
BM25 + LM-JM  k=60,BM25 + LM-JM,60,0.7901929861018937,0.050356983970076805,0.5808763169304673,0.07364741531500323,0.8807142857142857,0.7021428571428572,0.7695656397271614,0.7341659739737931,0.7474464851785696,0.8409751842271741,0.8588116474027699
BM25 + LM-JM  k=30,BM25 + LM-JM,30,0.790150052004217,0.05025423681063698,0.5807275124006817,0.07342161617382172,0.8807142857142857,0.7021428571428572,0.7693878722035127,0.7343668520211207,0.7474854822223209,0.8408433343477809,0.8586667192263495
LM-JM + LM-Dir  k=30,LM-JM + LM-Dir,30,0.7793001646771447,0.05613372279335978,0.5667041599902343,0.07769173491767374,0.8988095238095237,0.7228571428571428,0.7533463216885037,0.7191674589747636,0.7313717373295565,0.8366048473569384,0.8560104580359613
LM-JM + LM-Dir  k=60,LM-JM + LM-Dir,60,0.7789727761787475,0.05641788444618497,0.5664260635843312,0.07781092471950539,0.8988095238095237,0.7228571428571428,0.753496927866159,0.7183183963966343,0.7305583758190644,0.8364513907024395,0.8560387901094401
LM-JM + LM-Dir  k=90,LM-JM + LM-Dir,90,0.7789355003013025,0.05646743598443899,0.5663356583653141,0.0778553550043079,0.8988095238095237,0.7228571428571428,0.7535524692797082,0.7181862407609353,0.7304628275215128,0.8362570564087907,0.8562189075355658
BM25 + KNN(MedCPT)  k=30,BM25 + KNN(MedCPT),30,0.5978686458877266,0.060242055672153245,0.2891875880165779,0.04846862241043106,0.7898809523809524,0.3957142857142858,0.5657570291876215,0.5380877889126928,0.5504482681697226,0.6393480236045319,0.6957021195640638
BM25 + KNN(MedCPT)  k=60,BM25 + KNN(MedCPT),60,0.5929351502803376,0.05817000892489166,0.28919467040496005,0.048373599051571466,0.694047619047619,0.4257142857142857,0.5541191020033118,0.5438510660816717,0.5501904222461684,0.621914319794051,0.694600841276485
BM25 + KNN(MedCPT)  k=90,BM25 + KNN(MedCPT),90,0.585726934475624,0.06064282831686789,0.2854317176820712,0.04947393337718336,0.6021428571428571,0.41428571428571426,0.5485949753032486,0.536958156482841,0.5383865595484535,0.610437593370806,0.6942573876727711
KNN(MedCPT) + LM-Dir  k=60,KNN(MedCPT) + LM-Dir,60,0.5492314485633752,0.06568232727514531,0.261699921721713,0.04854509385422414,0.55,0.37785714285714284,0.5079430937838877,0.4759305812666596,0.5287803357568398,0.5669675766100642,0.666535655399425
KNN(MedCPT) + LM-JM  k=60,KNN(MedCPT) + LM-JM,60,0.5482894472787633,0.06029200806846616,0.25891889351997116,0.04624217791153359,0.5395021645021645,0.4,0.5065260442983883,0.4854141806993023,0.5171977474422229,0.5822423198931636,0.6500669440607398
KNN(MedCPT) + LM-Dir  k=30,KNN(MedCPT) + LM-Dir,30,0.5480726173704837,0.0655742773124623,0.25952054121440987,0.047674109659927695,0.5492857142857142,0.38071428571428567,0.5091472043490622,0.4688043822125157,0.5274051653716825,0.5748830888707274,0.6601232460484311
KNN(MedCPT) + LM-Dir  k=90,KNN(MedCPT) + LM-Dir,90,0.5478884936457722,0.06650057675878551,0.26054477764471606,0.049053511186604594,0.5352380952380953,0.3642857142857142,0.5075973576357168,0.47176590034778015,0.5268811172071083,0.5675581519631392,0.6656399410751165
KNN(MedCPT) + LM-JM  k=30,KNN(MedCPT) + LM-JM,30,0.5471659449080408,0.06360207596585377,0.2568141139831735,0.04753123170220966,0.5423593073593074,0.37785714285714284,0.512183082517447,0.47481330700635216,0.5115093373143107,0.5849525762846243,0.6523714214174698
KNN(MedCPT) + LM-JM  k=90,KNN(MedCPT) + LM-JM,90,0.5453666631179214,0.06189321221561629,0.2568313629420226,0.04692278429534517,0.5186688311688312,0.3757142857142857,0.5026770463188941,0.48379161826680445,0.5137961084645662,0.5725555581440273,0.654012984395315
KNN(MedCPT) + KNN(msmarco)  k=30,KNN(MedCPT) + KNN(msmarco),30,0.5376689501758652,0.0839381682124317,0.2635107011337673,0.06917252464779652,0.5675340136054421,0.4007142857142857,0.4889323439629537,0.4855410479945693,0.44828953195056137,0.5877884178147227,0.6777934091565192
KNN(MedCPT) + KNN(msmarco)  k=60,KNN(MedCPT) + KNN(msmarco),60,0.5360519344741658,0.09186955365556655,0.2638030538780308,0.07533594489162586,0.54328231292517,0.38928571428571435,0.48461210190110143,0.47405448485633217,0.44424377265789683,0.5829128882526804,0.6944364247028182
KNN(MedCPT) + KNN(msmarco)  k=90,KNN(MedCPT) + KNN(msmarco),90,0.533298828113616,0.0916876509726036,0.2620788199994368,0.0749726450397278,0.5242630385487528,0.37785714285714284,0.4823573612755457,0.4704786391990671,0.4436787696704612,0.5767749885467611,0.6932043818762449
