label,pair,rrf_k,mean_ndcg,std_ndcg,mean_map,std_map,mean_mrr,mean_p10,ndcg_fold_1,ndcg_fold_2,ndcg_fold_3,ndcg_fold_4,ndcg_fold_5
BM25 + LM-Dir  k=90,BM25 + LM-Dir,90,0.7906974051254131,0.051179495049913946,0.5846343010376174,0.07330127560635555,0.8988095238095237,0.7071428571428571,0.7683374994572715,0.7352809927821429,0.7459797840795576,0.8485011752370938,0.8553875740709995
BM25 + LM-Dir  k=60,BM25 + LM-Dir,60,0.7906694686180508,0.05114715528740206,0.584570476888923,0.07330772339781846,0.8988095238095237,0.7071428571428571,0.7682456227973846,0.7352923026432301,0.7460429061757656,0.8483539105506154,0.8554126009232588
BM25 + LM-Dir  k=30,BM25 + LM-Dir,30,0.7906487421396512,0.050899540735765386,0.5845858025188704,0.07291170272472693,0.8988095238095237,0.7071428571428571,0.7681632179486405,0.7356941558304505,0.7462155720523678,0.8478870033009468,0.8552837615658504
BM25 + LM-JM  k=60,BM25 + LM-JM,60,0.7880209147122148,0.05088484271982891,0.580539798603135,0.0738918918160398,0.8807142857142857,0.6992857142857144,0.7677493138710741,0.7313179498803929,0.7440125161562456,0.8428117779367392,0.8542130157166223
BM25 + LM-JM  k=90,BM25 + LM-JM,90,0.7880193541807242,0.05096716552320461,0.5805520660997987,0.07405908105918124,0.8807142857142857,0.6992857142857144,0.7678339254620986,0.7311322249658201,0.7439449827544172,0.8429437772960016,0.8542418604252835
BM25 + LM-JM  k=30,BM25 + LM-JM,30,0.7879741853786071,0.05080212684089768,0.5803167802289501,0.07374531267823703,0.8807142857142857,0.6992857142857144,0.7676558714323843,0.731430622546873,0.7440269523455754,0.8426563159487174,0.8541011646194855
LM-JM + LM-Dir  k=30,LM-JM + LM-Dir,30,0.7771006965427845,0.056709188539755935,0.5663504392343828,0.07780615066034278,0.8845238095238095,0.7257142857142856,0.7531904083673014,0.7131618635751262,0.7300890170713458,0.8369163642756762,0.8521458294244724
LM-JM + LM-Dir  k=60,LM-JM + LM-Dir,60,0.7768849807008238,0.05692801357242056,0.5661369919887944,0.07809361136048228,0.8845238095238095,0.7257142857142856,0.7531046042838823,0.7130298324864378,0.7291447510396261,0.8368728436504469,0.8522728720437258
LM-JM + LM-Dir  k=90,LM-JM + LM-Dir,90,0.7768242899506289,0.056993080028034,0.566022886887905,0.07818767654510601,0.8845238095238095,0.7257142857142856,0.7531094966994054,0.712787395786088,0.7290867548707147,0.8368099173580179,0.8523278850389187
BM25 + KNN(MedCPT)  k=30,BM25 + KNN(MedCPT),30,0.595827865455029,0.0603223792157432,0.2891875880165779,0.04846862241043106,0.7898809523809524,0.3957142857142858,0.563415529790336,0.537497344582696,0.5461585240611785,0.6394247379719908,0.6926431908689434
BM25 + KNN(MedCPT)  k=60,BM25 + KNN(MedCPT),60,0.5909901485850618,0.05838564182679605,0.28919467040496005,0.048373599051571466,0.694047619047619,0.4257142857142857,0.5517403070306603,0.5432062350234317,0.5459170362728161,0.621951804516114,0.6921353600822872
BM25 + KNN(MedCPT)  k=90,BM25 + KNN(MedCPT),90,0.5837312769119747,0.060874119319971866,0.2854317176820712,0.04947393337718336,0.6021428571428571,0.41428571428571426,0.546187603437188,0.5361981905498372,0.5340404064873524,0.6104393584224054,0.6917908256630898
KNN(MedCPT) + LM-Dir  k=60,KNN(MedCPT) + LM-Dir,60,0.5477823317451626,0.06541965185369042,0.261699921721713,0.04854509385422414,0.55,0.37785714285714284,0.5065319415432793,0.47602048484530207,0.5247213415103618,0.5670463813455972,0.6645915094812723
KNN(MedCPT) + LM-Dir  k=30,KNN(MedCPT) + LM-Dir,30,0.5465443115692606,0.0652103601320598,0.25952054121440987,0.047674109659927695,0.5492857142857142,0.38071428571428567,0.507712293539238,0.4688966730764252,0.523333120543666,0.574981112317978,0.657798358368996
